x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,
-0.122366,0.144246,-0.320097,0.024311,-0.540519,0.163695,-0.465964,0.218801,-0.582658,0.416532,-0.585900,0.568882,-0.571313,0.764992,-0.401135,0.695300,-0.294165,0.674230,-0.198541,0.846029,-0.114263,0.888169,-0.062399,1.000000,-0.002431,0.901135,0.111021,0.794165,0.140194,0.628849,0.245543,0.601297,0.384927,0.593193,0.324959,0.429498,0.313614,0.293355,0.193679,0.157212,0.170989,0.072934,0.062399,0.000000,-0.122366,0.144246,
-0.068150,0.077886,-0.211405,0.030598,-0.410292,0.123783,-0.356050,0.204451,-0.478442,0.375522,-0.461752,0.509040,-0.528512,0.731572,-0.307371,0.613352,-0.178025,0.532684,-0.172462,0.713491,-0.104312,0.813630,-0.119611,1.000000,0.005563,0.865090,0.111266,0.815021,0.226704,0.561892,0.346314,0.630042,0.564673,0.655076,0.484006,0.458971,0.521558,0.344924,0.289291,0.091794,0.280946,0.019471,0.119611,0.000000,-0.068150,0.077886,
-0.105797,0.108696,-0.294203,0.020290,-0.510145,0.044928,-0.431884,0.131884,-0.713043,0.311594,-0.762319,0.531884,-0.853623,0.744928,-0.621739,0.766667,-0.289855,0.642029,-0.207246,0.921739,-0.066667,0.940580,0.004348,1.000000,0.094203,0.873913,0.211594,0.772464,0.163768,0.508696,0.310145,0.514493,0.401449,0.395652,0.415942,0.285507,0.392754,0.127536,0.118841,0.082609,0.092754,0.021739,-0.004348,0.000000,-0.105797,0.108696,
0.030303,0.146168,-0.122995,0.000000,-0.372549,0.039216,-0.238859,0.162210,-0.543672,0.308378,-0.516934,0.500891,-0.549020,0.686275,-0.336898,0.680927,-0.187166,0.625668,-0.147950,0.798574,0.008913,0.935829,0.122995,1.000000,0.208556,0.901961,0.301248,0.729055,0.286988,0.557932,0.376114,0.557932,0.488414,0.499109,0.495544,0.401070,0.500891,0.212121,0.299465,0.133690,0.310160,0.032086,0.156863,0.044563,0.030303,0.146168,
-0.348031,0.107087,-0.541732,0.088189,-0.694488,0.299213,-0.623622,0.305512,-0.741732,0.546457,-0.685039,0.651969,-0.658268,0.900787,-0.511811,0.741732,-0.418898,0.662992,-0.248819,0.850394,-0.146457,0.902362,0.007874,1.000000,-0.026772,0.916535,0.050394,0.771654,0.102362,0.570079,0.231496,0.563780,0.411024,0.543307,0.261417,0.381102,0.187402,0.234646,0.012598,0.099213,-0.007874,0.000000,-0.203150,0.004724,-0.348031,0.107087,
-0.005952,0.093750,-0.184524,0.000000,-0.488095,0.072917,-0.398810,0.220238,-0.620536,0.441964,-0.601190,0.616071,-0.604167,0.766369,-0.409226,0.770833,-0.194940,0.686012,-0.066964,0.857143,0.071429,0.904762,0.184524,1.000000,0.194940,0.863095,0.248512,0.736607,0.223214,0.553571,0.367560,0.642857,0.613095,0.712798,0.549107,0.546131,0.578869,0.375000,0.346726,0.165179,0.407738,0.080357,0.159226,0.011905,-0.005952,0.093750,
-0.222881,0.223729,-0.405932,0.081356,-0.648305,0.232203,-0.543220,0.328814,-0.651695,0.447458,-0.629661,0.642373,-0.588983,0.844068,-0.412712,0.749153,-0.302542,0.718644,-0.190678,0.881356,-0.056780,0.911864,0.094068,1.000000,0.097458,0.827119,0.180508,0.727119,0.143220,0.518644,0.260169,0.508475,0.492373,0.450847,0.339831,0.303390,0.255085,0.208475,0.053390,0.115254,-0.080508,0.057627,-0.094068,0.000000,-0.222881,0.223729,
-0.243875,0.086860,-0.404232,0.071269,-0.573497,0.229399,-0.522272,0.271715,-0.597996,0.452116,-0.564588,0.608018,-0.597996,0.808463,-0.406459,0.701559,-0.263920,0.614699,-0.114699,0.821826,-0.021158,0.884187,0.072383,1.000000,0.121381,0.859688,0.190423,0.732739,0.181514,0.574610,0.370824,0.527840,0.613586,0.483296,0.437639,0.316258,0.346325,0.167038,0.108018,0.100223,0.123608,0.008909,-0.072383,0.000000,-0.243875,0.086860,
